"[""2b6e44ed-1840-4715-a5f6-f2d6f46a16ea.mp4""]","{""Activity"":""Stop \n"",""Phase"":""Level-1 Annotation""}",,,,
"[""2b6e44ed-1840-4715-a5f6-f2d6f46a16ea.mp4""]","{""Activity"":""The Gaze is towards the action inducing objects\n"",""Phase"":""Level-2 Annotation""}",,,,
"[""2b6e44ed-1840-4715-a5f6-f2d6f46a16ea.mp4""]","{""Activity"":""The Ego vehicle is nearing an intersection and traffic light is red\n"",""Phase"":""Level-3 Annotation""}",,,,
"[""2b69bf02-f20a-4ea4-8100-aeac205c6e17.mp4""]","{""Activity"":""Straight \n"",""Phase"":""Level-1 Annotation""}",,,,
"[""2b69bf02-f20a-4ea4-8100-aeac205c6e17.mp4""]","{""Activity"":""The Gaze is mostly towards the forward direction \n"",""Phase"":""Level-2 Annotation""}",,,,
"[""2b69bf02-f20a-4ea4-8100-aeac205c6e17.mp4""]","{""Activity"":""The Ego vehicle follows the traffic ahead \n"",""Phase"":""Level-3 Annotation""}",,,,
"[""3cc38ef3-2c39-442d-9af3-5c7556662568.mp4""]","{""Activity"":""Straight \n"",""Phase"":""Level-1 Annotation""}",,,,
"[""3cc38ef3-2c39-442d-9af3-5c7556662568.mp4""]","{""Activity"":""The Gaze is mostly towards the forward direction \n"",""Phase"":""Level-2 Annotation""}",,,,
"[""3cc38ef3-2c39-442d-9af3-5c7556662568.mp4""]","{""Activity"":""The Ego vehicle follows the traffic ahead \n"",""Phase"":""Level-3 Annotation""}",,,,
"[""3e626e0a-2b0a-44fa-9990-914f8c024c28.mp4""]","{""Activity"":""Left Turn \n"",""Phase"":""Level-1 Annotation""}",,,,
"[""3e626e0a-2b0a-44fa-9990-914f8c024c28.mp4""]","{""Activity"":""The Gaze is mostly towards the front left side \n"",""Phase"":""Level-2 Annotation""}",,,,
"[""3e626e0a-2b0a-44fa-9990-914f8c024c28.mp4""]","{""Activity"":""The Ego vehicle is nearing an intersection and traffic light is green \n"",""Phase"":""Level-3 Annotation""}",,,,
"[""00a5df39-9d21-451d-823b-546d5a9eee13.mp4""]","{""Activity"":""SlowDown\n"",""Phase"":""Level-1 Annotation""}",,,,
"[""00a5df39-9d21-451d-823b-546d5a9eee13.mp4""]","{""Activity"":""The Gaze is towards the action inducing objects\n"",""Phase"":""Level-2 Annotation""}",,,,
"[""00a5df39-9d21-451d-823b-546d5a9eee13.mp4""]","{""Activity"":""The vehicle ahead slows down.\n"",""Phase"":""Level-3 Annotation""}",,,,
"[""0fa9df67-77d8-4e23-be08-502dde9fc831.mp4""]","{""Activity"":""Stop\n"",""Phase"":""Level-1 Annotation""}",,,,
"[""0fa9df67-77d8-4e23-be08-502dde9fc831.mp4""]","{""Activity"":""The Gaze is towards the action inducing objects\n"",""Phase"":""Level-2 Annotation""}",,,,
"[""0fa9df67-77d8-4e23-be08-502dde9fc831.mp4""]","{""Activity"":""The vehicle ahead slows down.\n"",""Phase"":""Level-3 Annotation""}",,,,
"[""1b49ee6d-358e-463d-b2f1-7b95bec454b6.mp4""]","{""Activity"":""Straight \n"",""Phase"":""Level-1 Annotation""}",,,,
"[""1b49ee6d-358e-463d-b2f1-7b95bec454b6.mp4""]","{""Activity"":""The Gaze is mostly towards the forward direction \n"",""Phase"":""Level-2 Annotation""}",,,,
"[""1b49ee6d-358e-463d-b2f1-7b95bec454b6.mp4""]","{""Activity"":""The road is clear ahead\n"",""Phase"":""Level-3 Annotation""}",,,,
"[""3f8abd95-8a0a-4a30-8ab8-f28d618b05d8.mp4""]","{""Activity"":""Left LC \n"",""Phase"":""Level-1 Annotation""}",,,,
"[""3f8abd95-8a0a-4a30-8ab8-f28d618b05d8.mp4""]","{""Activity"":""The Gaze is towards the front left side\n"",""Phase"":""Level-2 Annotation""}",,,,
"[""3f8abd95-8a0a-4a30-8ab8-f28d618b05d8.mp4""]","{""Activity"":""The road is clear ahead on the left lane\n"",""Phase"":""Level-3 Annotation""}",,,,
"[""4e57247b-e33e-402a-ae01-acf2bbc7d459.mp4""]","{""Activity"":""Left LC \n"",""Phase"":""Level-1 Annotation""}",,,,
"[""4e57247b-e33e-402a-ae01-acf2bbc7d459.mp4""]","{""Activity"":""The Gaze is towards the front left side"",""Phase"":""Level-2 Annotation""}",,,,
"[""4e57247b-e33e-402a-ae01-acf2bbc7d459.mp4""]","{""Activity"":""The road is clear ahead on the left lane\n"",""Phase"":""Level-3 Annotation""}",,,,
"[""4ea46af3-3e49-466e-adc9-642c4e1ba523.mp4""]","{""Activity"":""SlowDown"",""Phase"":""Level-1 Annotation""}",,,,
"[""4ea46af3-3e49-466e-adc9-642c4e1ba523.mp4""]","{""Activity"":""The Gaze is towards the action inducing objects\n"",""Phase"":""Level-2 Annotation""}",,,,
"[""4ea46af3-3e49-466e-adc9-642c4e1ba523.mp4""]","{""Activity"":""The vehicle ahead slows down"",""Phase"":""Level-3 Annotation""}",,,,
"[""5e7c20b1-f6dd-4aa1-ae26-e7fe67b30117.mp4""]","{""Activity"":""Right Turn \n"",""Phase"":""Level-1 Annotation""}",,,,
"[""5e7c20b1-f6dd-4aa1-ae26-e7fe67b30117.mp4""]","{""Activity"":""The Gaze is mostly towards the front right side \n"",""Phase"":""Level-2 Annotation""}",,,,
"[""5e7c20b1-f6dd-4aa1-ae26-e7fe67b30117.mp4""]","{""Activity"":""A right turn coming ahead\n\n"",""Phase"":""Level-3 Annotation""}",,,,
"[""5e7c20b1-f6dd-4aa1-ae26-e7fe67b30117.mp4""]","{""Activity"":""The traffic moves from the right to left side at the intersection \n"",""Phase"":""Level-3 Annotation""}",,,,
"[""7f4c8ccc-5535-4b66-801a-c98f51f0e89f.mp4""]","{""Activity"":""Straight \n"",""Phase"":""Level-1 Annotation""}",,,,
"[""7f4c8ccc-5535-4b66-801a-c98f51f0e89f.mp4""]","{""Activity"":""The Gaze is mostly towards the forward direction \n"",""Phase"":""Level-2 Annotation""}",,,,
"[""7f4c8ccc-5535-4b66-801a-c98f51f0e89f.mp4""]","{""Activity"":""The road is clear ahead\n"",""Phase"":""Level-3 Annotation""}",,,,
"[""8e60a95e-8d73-4797-b89f-e866d9ba05e9.mp4""]","{""Activity"":""Straight"" ,""Phase"":""Level-1 Annotation""}",,,,
"[""8e60a95e-8d73-4797-b89f-e866d9ba05e9.mp4""]","{""Activity"":""The Gaze is mostly towards the forward direction"",""Phase"":""Level-2 Annotation""}",,,,
"[""8e60a95e-8d73-4797-b89f-e866d9ba05e9.mp4""]","{""Activity"":""The Ego vehicle follows the traffic ahead \n"",""Phase"":""Level-3 Annotation""}",,,,
"[""9b9caa9b-771b-4d42-ae85-9a16087a75b6.mp4""]","{""Activity"":""SlowDown"",""Phase"":""Level-1 Annotation""}",,,,
"[""9b9caa9b-771b-4d42-ae85-9a16087a75b6.mp4""]","{""Activity"":""The Gaze is towards the action inducing objects\n"",""Phase"":""Level-2 Annotation""}",,,,
"[""9b9caa9b-771b-4d42-ae85-9a16087a75b6.mp4""]","{""Activity"":""Pedestrian/Vehicle cutting in the path ahead\n"",""Phase"":""Level-3 Annotation""}",,,,
"[""9d0c1218-d8ea-41b5-b587-b3a20064da60.mp4""]","{""Activity"":""Left LC \n"",""Phase"":""Level-1 Annotation""}",,,,
